"date","time","from","sender name","sender lat","sender long","rx lat","rx long","rx elevation","rx snr","distance(m)","hop limit","payload"
"2026-04-08","15:24:17","1363232625","Meshtastic 4771","50.9042488","12.070895","50.903802299999995","12.0651233","192","-8.25","408","0","seq 31"
"2026-04-08","15:24:33","1363232625","Meshtastic 4771","50.9042488","12.070895","50.903802299999995","12.0651233","192","-17.25","408","0","seq 32"
"2026-04-08","15:26:03","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9083915","12.0655658","190","-14.25","593","0","seq 38"
"2026-04-08","15:26:19","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9083915","12.0655658","190","-2.0","593","0","seq 39"
"2026-04-08","15:26:33","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9075825","12.066379","190","-1.25","488","0","seq 40"
"2026-04-08","15:26:49","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9075825","12.066379","190","1.75","488","0","seq 41"
"2026-04-08","15:27:03","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9066653","12.067787","190","-1.75","346","0","seq 42"
"2026-04-08","15:27:34","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9055298","12.0706451","190","-1.75","144","0","seq 44"
"2026-04-08","15:32:37","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9044971","12.0862468","216","-20.5","1077","0","seq 64"
"2026-04-08","15:33:37","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9061648","12.077498799999999","194","-4.75","510","0","seq 68"
"2026-04-08","15:33:51","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9061648","12.077498799999999","194","5.0","510","0","seq 69"
"2026-04-08","15:34:07","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9050806","12.0714306","192","0.5","100","0","seq 70"
"2026-04-08","15:34:22","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9050806","12.0714306","192","-2.25","100","0","seq 71"
"2026-04-08","15:34:52","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9023058","12.0720716","197","-12.75","231","0","seq 73"
"2026-04-08","15:39:39","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9009","12.0710046","186","-1.25","372","0","seq 92"
"2026-04-08","15:39:55","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9009","12.0710046","186","4.25","372","0","seq 93"
"2026-04-08","15:40:10","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9030196","12.070733299999999","187","1.5","137","0","seq 94"
"2026-04-08","15:40:26","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9030196","12.070733299999999","187","0.5","137","0","seq 95"
"2026-04-08","15:40:39","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9030196","12.070733299999999","187","4.25","137","0","seq 96"
"2026-04-08","15:41:10","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9030196","12.070733299999999","187","4.75","137","0","seq 98"
"2026-04-08","15:41:26","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9030196","12.070733299999999","187","1.75","137","0","seq 99"
"2026-04-08","15:41:40","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9030196","12.070733299999999","187","3.5","137","0","seq 100"
"2026-04-08","15:41:55","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9030196","12.070733299999999","187","6.5","137","0","seq 101"
"2026-04-08","15:42:10","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9030196","12.070733299999999","187","6.5","137","0","seq 102"
"2026-04-08","15:42:25","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9030196","12.070733299999999","187","5.5","137","0","seq 103"
"2026-04-08","15:42:40","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9030196","12.070733299999999","187","6.25","137","0","seq 104"
"2026-04-08","15:42:55","1363232625","Meshtastic 4771","50.9042488","12.070895","50.9030196","12.070733299999999","187","6.5","137","0","seq 105"
"2026-04-08","15:43:14","1363232625","Meshtastic 4771","50.9042488","12.070895","50.903607799999996","12.069637499999999","186","6.5","113","0","seq 106"
"2026-04-08","15:43:26","1363232625","Meshtastic 4771","50.9042488","12.070895","50.903607799999996","12.069637499999999","186","5.5","113","0","seq 107"
"2026-04-08","15:43:56","1363232625","Meshtastic 4771","50.9042488","12.070895","50.903607799999996","12.069637499999999","186","5.0","113","0","seq 109"
"2026-04-08","15:44:11","1363232625","Meshtastic 4771","50.9042488","12.070895","50.903607799999996","12.069637499999999","186","6.25","113","0","seq 110"
"2026-04-08","15:44:41","1363232625","Meshtastic 4771","50.9042488","12.070895","50.903607799999996","12.069637499999999","186","5.5","113","0","seq 112"
